date,title,score
2026-09-10,"FPT phát hành 171 triệu cổ phiếu thưởng, vốn điều lệ tăng mạnh - VnEconomy",0.0
2026-09-10,Người 'bắt đáy' cổ phiếu FPT lãi lớn - Znews,0.0
2026-09-10,"Tập đoàn FPT (FPT) chốt ngày thưởng hơn 171 triệu cổ phiếu, thị giá vươn lên đỉnh 3 tháng - Báo Pháp Luật Việt Nam",0.0
2026-08-28,"Nhóm cổ phiếu công nghệ hút hơn 757 tỷ đồng dòng tiền, FPT nổi bật - Báo Dân Việt",0.0
2026-09-10,"Cổ phiếu FPT lên đỉnh 3 tháng, nhà đầu tư chú ý thông tin vừa công bố - 24HMoney",0.0
2026-08-25,Cổ phiếu cần quan tâm ngày 26/8 - Tin nhanh chứng khoán,0.0
2026-09-15,"Công nghệ và AI tạo kỳ vọng mới, cổ phiếu FPT được định giá 92.400 đồng - Tạp chí Kinh tế chứng khoán Việt Nam",0.0
2026-09-10,"Cổ đông lớn nhất FPT sắp được nhận thêm gần 11,7 triệu cổ phiếu - Nhịp sống kinh doanh",0.0
2026-09-03,"Cổ phiếu đáng chú ý ngày 3/9: Cơ hội từ công nghệ, ngân hàng đến điện khí LNG - thuonghieucongluan.com.vn",0.0
2026-08-22,FTSE công bố kết quả rà soát đặc biệt: Cổ phiếu nào vượt kỳ vọng? - VietnamFinance,0.0
2026-09-05,FTSE giữ nguyên 27 cổ phiếu Việt Nam sau hạn điều chỉnh - Tạp chí Kinh tế - Tài chính Online,0.0
2026-09-15,FPT tăng thêm 171 triệu cổ phiếu: Phép thử cho chất lượng tăng trưởng - Vietnam.vn,0.8
2026-08-27,"Khối ngoại nối dài mạch mua ròng, FPT dẫn đầu khi hút hơn 200 tỷ đồng - MoneyF",0.7
2026-08-21,Chi tiết toàn bộ 90 cổ phiếu Việt Nam vào rổ Micro Cap của FTSE Global Equity Index Series - CafeF,0.0
2026-09-08,Cổ phiếu công nghệ đi ngược sắc xanh toàn thị trường: FPT và GEE cùng giảm giá - Báo Dân Việt,0.0
2026-09-14,"VHM, FPT, HPG cùng loạt cổ phiếu lớn sắp nhận 240 triệu USD vốn ngoại - Znews",0.0
2026-08-17,"FPT, MWG, ACB: 3 cổ phiếu được “chấm điểm” tích cực trước phiên 17/8 - MoneyF",0.0
2026-08-28,"Khối ngoại tập trung gom 3 mã bluechip, tiếp tục mua ròng gần 350 tỷ đồng trong phiên 28/8 - Tin nhanh chứng khoán",0.7
2026-09-10,"FPT Group (FPT) sets date for bonus distribution of over 171 million shares, market price reaches a 3-month high. - Vietnam.vn",0.0
2026-09-09,"Cổ phiếu công nghệ bật tăng khi VN-Index quay đầu giảm: FPT, GEE, ELC... đồng loạt khởi sắc - Báo Dân Việt",0.65
2026-09-14,FPT dự báo được giải ngân khi dòng tiền 240 triệu USD đón đầu nâng hạng - Chungta,0.75
2026-08-21,Chính thức công bố danh sách cổ phiếu Việt Nam lọt FTSE Global Equity Index Series - CafeF,0.0
2026-09-15,FPT raises an additional 171 million shares: A test of growth quality. - Vietnam.vn,0.0
2026-09-10,Bí mật của dòng tiền|Ban tin thi truong phien 10 9 2026 - YouTube,0.0
2026-09-14,Hơn 240 triệu USD có thể chảy vào chứng khoán Việt Nam trong tuần đầu nâng hạng FTSE Theo Vietstock - Investing.com Việt Nam,0.75
2026-09-14,FPT sắp phát hành 171 triệu cổ phiếu thưởng - index.vn,0.0
2026-09-14,"VHM, FPT, HPG, and a host of other large-cap stocks are set to receive $240 million in foreign investment. - Vietnam.vn",0.0
2026-08-17,"Khuyến nghị cổ phiếu: Mua FPT, tăng tỷ trọng MWG, khả quan ACB - index.vn",0.0
