date,score,hour,title
2026-09-15,0,1,Chứng khoán hôm nay 15/9: 5 doanh nghiệp giao dịch cổ phiếu số lượng lớn - bnews.vn
2026-09-11,0,2,Chị ruột Phó Chủ HPG tịch đăng ký bán 350.000 cổ phiếu - VnEconomy
2026-09-14,0.75,3,Hàng loạt cổ phiếu HPG; VPB; VIC; NVL... sắp biến động mạnh trước ngày nâng hạng - nguoiquansat.vn
2026-09-14,0,4,VHM; FPT; HPG cùng loạt cổ phiếu lớn sắp nhận 240 triệu USD vốn ngoại - Znews
2026-09-10,0,11,Sự kiện chứng khoán đáng chú ý ngày 11/9 - Tin nhanh chứng khoán
2026-09-10,0,9,Người thân sếp lớn Hòa Phát đăng ký bán cổ phiếu HPG - CafeF
2026-09-09,-0.7,10,Chứng khoán khối ngoại 9/9: Bán ròng hơn 280 tỷ đồng phiên 9/9; HPG được giải ngân mạnh - thuonghieucongluan.com.vn
2026-09-14,0,10,Tự doanh tiếp tục xả HPG - VietnamBiz
2026-08-25,0,7,Một số cổ phiếu cần quan tâm 25/8: Cơ hội tiềm năng với HPG và SAS - VOV.VN
2026-07-07,0,7,Thông báo về ngày giao dịch cổ phiếu phát hành trả cổ tức năm 2025 - hoaphat.com.vn
2026-09-09,0,7,Chưng khoán tháng 9 và bài toán chọn cổ phiếu: Tại sao là HPG và VCB? - Tạp chí Kinh tế chứng khoán Việt Nam
2026-07-09,0,7,Lãnh đạo lâu năm của Hòa Phát bán xong 6;6 triệu cổ phiếu HPG - Mekong ASEAN
2026-09-09,0,8,Phiên 9/9: Hơn 10 triệu cổ phiếu HPG về tay khối ngoại - nguoiquansat.vn
2026-08-21,0,7,Nhìn lại diễn biến nhóm cổ phiếu được các công ty chứng khoán khuyến nghị tuần qua - Tin nhanh chứng khoán
2026-09-07,0.8,22,Cổ phiếu ngày 8/9: Phân hóa cơ hội; dòng tiền tìm kiếm điểm tựa tăng trưởng - thuonghieucongluan.com.vn
2026-07-15,0,7,Khuyến nghị cổ phiếu ngày 15/7: Mua HPG; PVS và ACB - bnews.vn
2026-09-09,0,16,Cổ phiếu đáng chú ý ngày 10/9: HDB; HPG; TCB; - nguoiquansat.vn
2026-08-20,0,7,Cổ phiếu cần quan tâm ngày 21/8 - Tin nhanh chứng khoán
2026-08-24,0,7,Một công ty chứng khoán cho rằng HPG đang giao dịch dưới giá trị thực 65% - nguoiquansat.vn
2026-09-12,0,9,Ít ngày nữa cơ cấu quý III/2026: Quỹ ETF ngoại loại CEO; dự kiến gom hàng triệu cổ phiếu SSB; HPG; VPL... - nguoiquansat.vn
2026-07-21,0,7,Vì sao cổ phiếu HPG rơi xuống đáy 1 năm: Thị trường đang lo điều gì ở Hòa Phát? - nguoiquansat.vn
2026-08-21,0.8,7,Cổ phiếu đáng chú ý 21/8: HPG được khuyến nghị mua mạnh; MBB; NLG và SAS tích cực - thuonghieucongluan.com.vn
2026-07-01,0,7,Cổ phiếu cần quan tâm ngày 2/7 - Tin nhanh chứng khoán
