stt,ngay_mua,gia_mua,ngay_ban,gia_ban,ly_do,pnl_pct
1,2025-06-26,99369.65999999999,2025-07-11,107480.0,AI-SELL,8.11
2,2025-07-18,107023.485,2025-08-15,99000.0,STOP-LOSS,-7.54
3,2025-08-18,98159.055,2025-09-04,102510.0,AI-SELL,4.38
4,2025-09-29,93286.62,2025-10-17,86010.0,STOP-LOSS,-7.85
5,2025-11-19,95717.83499999999,2026-01-12,98150.0,AI-SELL,2.49
6,2026-01-26,97208.58,2026-01-29,104660.0,AI-SELL,7.61
7,2026-02-03,102541.245,2026-02-13,94990.0,STOP-LOSS,-7.41
8,2026-03-03,85862.90999999999,2026-03-09,74870.0,STOP-LOSS,-12.85
9,2026-03-10,78459.20999999999,2026-03-23,72110.0,STOP-LOSS,-8.14
10,2026-03-26,73226.595,2026-05-18,73880.0,AI-SELL,0.84
